equipment;repetition;simple_syscall;simple_read;simple_write;simple_stat;simple_fstat;simple_open_close
PC;0;0.0355;0.0799;0.0612;0.2819;0.0719;0.7182
PC;1;0.035;0.0794;0.0595;0.2824;0.072;0.7201
PC;2;0.0354;0.08;0.0599;0.2831;0.0716;0.7173
PC;3;0.0351;0.0799;0.0613;0.2825;0.0727;0.7152
PC;4;0.0359;0.08;0.0599;0.2823;0.0718;0.7154
CUBIE;0;0.4526;0.4988;0.7706;4.1796;0.7804;9.7576
CUBIE;1;0.247;0.4979;0.7693;4.185;0.7808;9.7186
CUBIE;2;0.5237;0.5002;0.7704;4.1716;0.7815;9.619
CUBIE;3;0.4511;0.4993;0.7686;4.173;0.7825;9.5
CUBIE;4;0.2485;0.4998;0.7713;4.163;0.7821;11.0756
