equipment;device;operation;reqsize;cache;repetition;measurement;cpu;mem
cubie;hdd1;write;4096;0;4;0;5.6;0.3
cubie;hdd1;write;4096;0;4;1;11.6;0.3
cubie;hdd1;write;4096;0;4;2;11.2;0.3
cubie;hdd1;write;4096;0;4;3;0.0;1.6
cubie;hdd1;write;4096;0;4;4;11.4;0.3
cubie;hdd1;write;4096;0;4;5;11.8;0.3
cubie;hdd1;write;4096;0;4;6;5.7;0.3
cubie;hdd1;write;4096;0;4;7;5.8;0.3
cubie;hdd1;write;4096;0;4;8;5.7;1.6
cubie;hdd1;write;4096;0;4;9;0.0;1.6
cubie;hdd1;write;4096;0;4;10;5.9;0.3
cubie;hdd1;write;4096;0;4;11;6.0;0.3
cubie;hdd1;write;4096;0;4;12;5.7;1.6
cubie;hdd1;write;4096;0;4;13;0.0;1.6
cubie;hdd1;write;4096;0;4;14;6.0;1.6
cubie;hdd1;write;4096;0;4;15;11.4;0.3
cubie;hdd1;write;4096;0;4;16;5.7;0.3
cubie;hdd1;write;4096;0;4;17;5.7;0.3
cubie;hdd1;write;4096;0;4;18;5.8;0.3
cubie;hdd1;write;4096;0;4;19;5.6;0.3
cubie;hdd1;write;4096;0;3;0;10.5;0.3
cubie;hdd1;write;4096;0;3;1;17.3;0.3
cubie;hdd1;write;4096;0;3;2;5.1;0.3
cubie;hdd1;write;4096;0;3;3;5.3;0.3
cubie;hdd1;write;4096;0;3;4;0.0;1.6
cubie;hdd1;write;4096;0;3;5;5.2;0.3
cubie;hdd1;write;4096;0;3;6;5.3;1.6
cubie;hdd1;write;4096;0;3;7;10.9;0.3
cubie;hdd1;write;4096;0;3;8;5.6;0.3
cubie;hdd1;write;4096;0;3;9;11.6;0.3
cubie;hdd1;write;4096;0;3;10;5.1;1.6
cubie;hdd1;write;4096;0;3;11;0.0;1.6
cubie;hdd1;write;4096;0;3;12;5.7;0.3
cubie;hdd1;write;4096;0;3;13;5.6;1.6
cubie;hdd1;write;4096;0;3;14;5.1;0.3
cubie;hdd1;write;4096;0;3;15;5.2;0.3
cubie;hdd1;write;4096;0;3;16;10.3;0.3
cubie;hdd1;write;4096;0;3;17;5.2;0.3
cubie;hdd1;write;4096;0;3;18;10.1;0.3
cubie;hdd1;write;4096;0;1;0;11.6;0.3
cubie;hdd1;write;4096;0;1;1;0.0;1.6
cubie;hdd1;write;4096;0;1;2;5.6;0.3
cubie;hdd1;write;4096;0;1;3;0.0;1.6
cubie;hdd1;write;4096;0;1;4;5.8;0.3
cubie;hdd1;write;4096;0;1;5;6.0;0.3
cubie;hdd1;write;4096;0;1;6;17.3;0.3
cubie;hdd1;write;4096;0;1;7;12.0;0.3
cubie;hdd1;write;4096;0;1;8;11.5;0.3
cubie;hdd1;write;4096;0;1;9;11.3;0.3
cubie;hdd1;write;4096;0;1;10;0.0;1.6
cubie;hdd1;write;4096;0;1;11;5.7;0.3
cubie;hdd1;write;4096;0;1;12;5.8;1.6
cubie;hdd1;write;4096;0;1;13;11.5;0.3
cubie;hdd1;write;4096;0;1;14;5.8;0.3
cubie;hdd1;write;4096;0;1;15;11.5;0.3
cubie;hdd1;write;4096;0;1;16;5.7;0.3
cubie;hdd1;write;4096;0;1;17;11.7;0.3
cubie;hdd1;write;4096;0;1;18;11.7;0.3
cubie;hdd1;write;4096;0;2;0;11.6;0.3
cubie;hdd1;write;4096;0;2;1;11.3;0.3
cubie;hdd1;write;4096;0;2;2;0.0;1.6
cubie;hdd1;write;4096;0;2;3;5.6;0.3
cubie;hdd1;write;4096;0;2;4;5.8;1.6
cubie;hdd1;write;4096;0;2;5;5.7;0.3
cubie;hdd1;write;4096;0;2;6;23.2;0.3
cubie;hdd1;write;4096;0;2;7;16.9;0.3
cubie;hdd1;write;4096;0;2;8;5.8;0.3
cubie;hdd1;write;4096;0;2;9;5.7;1.6
cubie;hdd1;write;4096;0;2;10;5.8;1.6
cubie;hdd1;write;4096;0;2;11;5.6;0.3
cubie;hdd1;write;4096;0;2;12;11.5;0.3
cubie;hdd1;write;4096;0;2;13;5.7;0.3
cubie;hdd1;write;4096;0;2;14;5.7;1.6
cubie;hdd1;write;4096;0;2;15;11.3;0.3
cubie;hdd1;write;4096;0;2;16;16.2;0.3
cubie;hdd1;write;4096;0;2;17;17.1;0.3
