Date,Time,Proc_Energy,DRAM_Energy
2017-08-30,12:50:33.565,13.6,3.21
2017-08-30,12:50:34.569,13.3,3.22
2017-08-30,12:50:35.569,13.2,3.22
2017-08-30,12:50:36.572,13.2,3.24
2017-08-30,12:50:37.576,13,3.2
2017-08-30,12:50:38.580,13.6,3.2
2017-08-30,12:50:39.583,13,3.2
2017-08-30,12:50:40.587,12.8,3.21
2017-08-30,12:50:41.591,12.7,3.22
2017-08-30,12:50:42.594,12.8,3.24
2017-08-30,12:50:43.598,13.1,3.22
2017-08-30,12:50:44.602,12.7,3.16
2017-08-30,12:50:45.605,13.3,3.22
2017-08-30,12:50:46.609,13.4,3.19
2017-08-30,12:50:47.613,12.9,3.18
2017-08-30,12:50:48.617,13,3.17
2017-08-30,12:50:49.620,13,3.16
2017-08-30,12:50:50.624,12.9,3.16
2017-08-30,12:50:51.628,13.5,3.18
2017-08-30,12:50:52.631,13,3.18
2017-08-30,12:50:53.635,13.6,3.21
2017-08-30,12:50:54.639,12.8,3.17
2017-08-30,12:50:55.642,12.7,3.16
2017-08-30,12:50:56.646,12.8,3.18
2017-08-30,12:50:57.650,13.2,3.17
2017-08-30,12:50:58.653,17.7,3.39
2017-08-30,12:50:59.657,12.9,3.19
2017-08-30,12:51:00.661,13.6,3.22
2017-08-30,12:51:01.664,13.1,3.18
2017-08-30,12:51:02.668,28.6,3.97
2017-08-30,12:51:03.672,31.2,4.08
2017-08-30,12:51:04.675,15.3,3.37
2017-08-30,12:51:05.679,13.9,3.27
2017-08-30,12:51:06.683,13.4,3.26
2017-08-30,12:51:07.686,13.2,3.22
2017-08-30,12:51:08.690,13.5,3.21
2017-08-30,12:51:09.694,13.2,3.18
2017-08-30,12:51:10.697,13.5,3.21
2017-08-30,12:51:11.701,13.3,3.23
2017-08-30,12:51:12.705,13.6,3.24
2017-08-30,12:51:13.708,13.7,3.23
2017-08-30,12:51:14.712,13.5,3.21
2017-08-30,12:51:15.716,13.8,3.23
2017-08-30,12:51:16.719,13.7,3.19
2017-08-30,12:51:17.723,13.4,3.18
2017-08-30,12:51:18.727,13.7,3.21
2017-08-30,12:51:19.731,13.5,3.22
2017-08-30,12:51:20.734,13.2,3.2
2017-08-30,12:51:21.738,13.2,3.16
2017-08-30,12:51:22.742,13.6,3.2
2017-08-30,12:51:23.745,13.3,3.23
2017-08-30,12:51:24.749,12.9,3.23
2017-08-30,12:51:25.749,12.9,3.19
2017-08-30,12:51:26.752,13,3.23
2017-08-30,12:51:27.756,13.1,3.19
2017-08-30,12:51:28.760,13.3,3.24
2017-08-30,12:51:29.764,12.7,3.18
2017-08-30,12:51:30.767,13.4,3.27
2017-08-30,12:51:31.771,12.7,3.18
