measurement;power_cpu;power_ram
0;35.4;4.2
1;13.4;3.28
2;13.2;3.24
3;32.8;3.98
4;19.1;3.46
5;13.1;3.24
6;12.9;3.23
7;13.0;3.23
8;12.9;3.2
9;35.5;4.23
10;35.5;4.09
11;13.7;3.26
12;12.9;3.25
13;13.1;3.25
14;13.0;3.24
15;12.7;3.28
16;35.4;4.17
17;12.6;3.23
18;12.6;3.34
19;34.3;4.25
20;12.8;3.29
21;12.8;3.27
22;13.0;3.27
23;13.0;3.27
24;35.0;4.21
25;23.1;3.69
26;13.1;3.24
27;20.8;3.59
28;13.2;3.3
29;13.5;3.33
30;12.8;3.39
31;12.8;3.37
32;35.5;4.31
33;12.8;3.37
34;13.5;3.38
35;35.4;4.44
36;17.0;3.45
37;13.3;3.28
38;35.4;4.21
39;13.9;3.31
40;13.5;3.31
41;13.9;3.31
42;13.3;3.3
43;13.7;3.29
44;13.6;3.35
45;13.5;3.3
46;13.3;3.29
47;35.4;4.16
48;35.4;4.13
49;14.3;3.27
50;13.6;3.26
51;13.7;3.36
52;13.4;3.35
53;13.4;3.37
54;13.6;3.25
55;13.4;3.28
56;35.4;4.33
57;13.3;3.32
58;13.0;3.34
